school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,is_dropout,parent_edu_avg,alc_total,grade_avg_g1g2,pass_fail
0,0,1.023046454461126,1,0,0,4,4,0,4,0,1,2,2,0,1,0,0,0,1,1,0,0,0.06219405883392808,-0.23601020446248228,0.8014792996325567,-0.5406986566036541,-1.0037892104979562,-0.3992894854413955,0.16360588465841527,-1.7824668774646413,-1.254791054106298,6,0,1.3893944675438812,-0.8941790451253065,-1.5607224826621489,0
0,0,0.23837975637929248,1,0,1,1,1,0,2,0,0,1,2,0,0,1,0,0,0,1,1,0,1.178860115170367,-0.23601020446248228,-0.09790798262556814,-0.5406986566036541,-1.0037892104979562,-0.3992894854413955,-0.20150329296912078,-1.7824668774646413,-1.520979274499417,6,0,-1.6652111800247626,-0.8941790451253065,-1.7076446420166649,0
0,0,-1.3309536397843746,1,1,1,1,1,0,2,2,1,1,2,3,1,0,1,0,1,1,1,0,0.06219405883392808,-0.23601020446248228,-0.997295264883693,0.5833853926513113,0.55109995870476,-0.3992894854413955,0.8938242399134874,-1.179146897517312,-0.7224146133200599,10,0,-1.6652111800247626,0.619538338408248,-0.9730338452440852,1
0,0,-1.3309536397843746,1,0,1,4,2,1,3,1,1,1,3,0,0,1,1,1,1,1,1,1,-1.0544719975025107,-1.238419137394531,-0.997295264883693,-0.5406986566036541,-1.0037892104979562,1.0410698456029082,-0.5666124705966569,1.2341330222720055,0.8747147090386544,15,0,0.37119258502099994,-0.8941790451253065,1.0838763857191378,1
0,0,-0.5462869417025411,1,0,1,3,3,2,2,1,0,1,2,0,0,1,1,0,1,1,0,0,0.06219405883392808,-0.23601020446248228,-0.997295264883693,-0.5406986566036541,-0.2263446258965981,1.0410698456029082,-0.20150329296912078,-1.4808068874909766,-0.19003817253382177,10,0,0.37119258502099994,-0.38960658394745507,-0.8261116858895693,1
0,1,-0.5462869417025411,1,1,1,4,3,3,2,3,1,1,2,0,0,1,1,1,1,1,1,0,1.178860115170367,0.7663987284695665,-0.997295264883693,-0.5406986566036541,-0.2263446258965981,1.0410698456029082,0.8938242399134874,1.2341330222720055,1.1409029294317736,15,0,0.8802935262824406,-0.38960658394745507,1.2307985450736536,1
0,1,-0.5462869417025411,1,1,1,2,2,2,2,1,1,1,2,0,0,0,0,0,1,1,1,0,0.06219405883392808,0.7663987284695665,0.8014792996325567,-0.5406986566036541,-1.0037892104979562,-0.3992894854413955,-0.9317216482241929,0.3291530523510115,0.34233826825241637,11,0,-0.6470092975018814,-0.8941790451253065,0.3492655889465581,1
0,0,0.23837975637929248,1,0,0,4,4,2,4,1,1,2,2,0,1,1,0,0,1,1,0,0,0.06219405883392808,-2.2408280703265797,0.8014792996325567,-0.5406986566036541,-1.0037892104979562,-1.8396488164856992,0.16360588465841527,-1.4808068874909766,-1.520979274499417,6,0,1.3893944675438812,-0.8941790451253065,-1.5607224826621489,0
0,1,-1.3309536397843746,1,1,0,3,2,3,2,1,1,1,2,0,0,1,1,0,1,1,1,0,0.06219405883392808,-1.238419137394531,-0.997295264883693,-0.5406986566036541,-1.0037892104979562,-1.8396488164856992,-0.9317216482241929,1.5357930122456702,1.9394675906111307,19,0,-0.1379083562404407,-0.8941790451253065,1.8184871824917175,1
0,1,-1.3309536397843746,1,0,1,3,4,2,2,1,1,1,2,0,0,1,1,1,1,1,1,0,1.178860115170367,1.7688076614016153,-1.896682547141818,-0.5406986566036541,-1.0037892104979562,1.0410698456029082,-0.9317216482241929,0.9324730322983409,1.1409029294317736,15,0,0.8802935262824406,-0.8941790451253065,1.0838763857191378,1
